id	question	a	b	c	d	correct	exp_a	exp_b	exp_c	exp_d
1	How many layers does the OSI model have?	4	5	7	9	C	Incorrect: 4 is too few layers for the OSI reference model.	Incorrect: 5 layers is used in some simplified models, not the formal OSI.	Correct: The OSI model has 7 distinct layers.	Incorrect: 9 is more than the OSI model defines.
2	Which layer of the OSI model is responsible for physical signaling over the medium?	Application	Session	Transport	Physical	D	Incorrect: Application deals with user-facing network services, not signaling.	Incorrect: Session manages sessions, not electrical or optical signals.	Incorrect: Transport handles end-to-end delivery and reliability, not raw signaling.	Correct: The Physical layer handles bits on the wire, including voltage and signaling.
3	Which OSI layer is mainly responsible for routing packets between different networks?	Data Link	Network	Transport	Session	B	Incorrect: Data Link operates on frames within a single link or LAN.	Correct: The Network layer handles logical addressing and routing between networks.	Incorrect: Transport focuses on end-to-end delivery, not path selection between networks.	Incorrect: Session manages dialogs between hosts, not routing.
4	At which OSI layer do MAC addresses primarily operate?	Physical	Data Link	Network	Application	B	Incorrect: Physical deals with bits and signaling, not addressing.	Correct: The Data Link layer uses MAC addresses for local delivery.	Incorrect: Network layer uses logical addresses like IP, not MAC.	Incorrect: Application is for user services, not hardware addresses.
5	Which OSI layer is responsible for end-to-end connections and segmentation of data?	Transport	Network	Data Link	Physical	A	Correct: Transport layer manages segments, reliability, and end-to-end communication.	Incorrect: Network handles routing and logical addressing, not segmentation logic.	Incorrect: Data Link focuses on frames and local link reliability.	Incorrect: Physical just sends raw bits with no concept of segmentation.
6	Which OSI layer provides services such as file transfer, email, and web browsing?	Transport	Session	Application	Network	C	Incorrect: Transport provides end-to-end connectivity, not user applications.	Incorrect: Session manages sessions but not user-level apps directly.	Correct: Application layer offers network services directly to user applications.	Incorrect: Network does routing and addressing, not user services.
7	What is the main function of the Data Link layer in the OSI model?	Providing end-to-end encryption	Routing packets across the internet	Framing and local delivery on a link	Defining user application protocols	C	Incorrect: Encryption can occur at multiple layers, but this is not the main Data Link role.	Incorrect: Routing is primarily a Network layer responsibility.	Correct: Data Link handles framing, MAC addressing, and local link delivery.	Incorrect: Application layer defines user-facing protocols, not link framing.
8	In the OSI model, which layer is directly above the Physical layer?	Application	Transport	Data Link	Network	C	Incorrect: Application is the topmost layer, not directly above Physical.	Incorrect: Transport is much higher than Physical.	Correct: Data Link sits immediately above the Physical layer.	Incorrect: Network is above Data Link, not directly above Physical.
9	Which OSI layer is responsible for logical addressing such as IP addresses?	Data Link	Transport	Network	Physical	C	Incorrect: Data Link uses physical or MAC addresses, not IP.	Incorrect: Transport uses ports, not logical network addresses.	Correct: Network layer uses logical addressing like IP for routing.	Incorrect: Physical deals with raw signals, not logical addresses.
10	Which OSI layer is best associated with managing sessions and dialogs between applications?	Session	Transport	Data Link	Presentation	A	Correct: Session layer establishes, manages, and terminates sessions.	Incorrect: Transport handles end-to-end delivery, not session control.	Incorrect: Data Link deals with frames on a local segment, not sessions.	Incorrect: Presentation focuses on translation and formatting, not dialog control.
11	What is the primary role of the Presentation layer in the OSI model?	Defining IP addressing	Encoding, encryption, and translation of data	Managing physical cables	Handling port numbers	B	Incorrect: IP addressing is handled at the Network layer.	Correct: Presentation layer translates, encrypts, and formats data for the Application layer.	Incorrect: Physical media and cables are part of the Physical layer.	Incorrect: Port numbers are handled by the Transport layer.
12	Which of the following is an example of a Physical layer characteristic?	TCP sequence numbers	MAC address	Voltage levels on the cable	IP address	C	Incorrect: TCP sequence numbers are a Transport layer feature.	Incorrect: MAC addresses belong to the Data Link layer.	Correct: Voltage or light levels are Physical layer details.	Incorrect: IP addresses are used at the Network layer.
13	At what OSI layer do switches primarily operate in their basic form?	Layer 2 – Data Link	Layer 3 – Network	Layer 4 – Transport	Layer 7 – Application	A	Correct: Basic switches operate at the Data Link layer using MAC addresses.	Incorrect: Routers primarily operate at the Network layer, not basic switches.	Incorrect: Transport is for end-to-end communication, not basic switching.	Incorrect: Application is not where switching decisions are made.
14	At which OSI layer do routers primarily make forwarding decisions?	Data Link	Network	Session	Physical	B	Incorrect: Data Link is used by switches and NICs for local delivery.	Correct: Routers work at the Network layer using logical addresses.	Incorrect: Session layer manages dialogs, not routing.	Incorrect: Physical just transmits bits and does not route.
15	What is the correct order of the OSI layers from bottom to top?	Application, Presentation, Session, Transport, Network, Data Link, Physical	Physical, Data Link, Network, Transport, Session, Presentation, Application	Data Link, Physical, Network, Transport, Session, Application, Presentation	Physical, Network, Data Link, Transport, Session, Application, Presentation	B	Incorrect: This list is reversed and not bottom to top.	Correct: Bottom to top is Physical, Data Link, Network, Transport, Session, Presentation, Application.	Incorrect: This order mixes layer positions incorrectly.	Incorrect: This sequence does not follow the OSI hierarchy.
16	Which OSI layer is responsible for flow control and reliability mechanisms like acknowledgments and retransmissions?	Transport	Physical	Data Link	Application	A	Correct: Transport layer can provide reliability with ACKs and retransmissions.	Incorrect: Physical has no concept of reliability beyond basic signaling.	Incorrect: Data Link can detect errors but full end-to-end reliability is Transport.	Incorrect: Application uses underlying services and does not implement core reliability mechanisms.
17	At which layer do you typically consider user authentication and application-specific security policies in the OSI model?	Physical	Network	Application	Data Link	C	Incorrect: Physical security deals with access to hardware, not user logins.	Incorrect: Network layer may enforce basic access control but not full app policies.	Correct: Application layer often handles user authentication and app-level security.	Incorrect: Data Link is more concerned with framing and MAC access.
18	Which OSI layer is most closely associated with error detection using CRC for frames?	Session	Data Link	Transport	Network	B	Incorrect: Session manages dialogs and checkpoints, not low-level CRC.	Correct: Data Link often uses CRC to detect errors in frames.	Incorrect: Transport may use checksums but not frame-level CRC.	Incorrect: Network focuses on routing and logical addressing, not frame CRC.
19	Which best describes the encapsulation process in terms of OSI layers?	Data moves from Application down to Physical adding headers at each relevant layer	Data moves from Physical up to Application adding headers each time	Data always stays in the Application layer	Only the Physical layer adds headers	A	Correct: Encapsulation adds headers as data moves down from Application to Physical.	Incorrect: Moving up generally involves decapsulation, removing headers.	Incorrect: Data moves through multiple layers, not just Application.	Incorrect: Many layers add headers, not only Physical.
20	Which PDU name is correctly matched with the OSI layer?	Segment at the Network layer	Packet at the Data Link layer	Frame at the Application layer	Bits at the Physical layer	D	Incorrect: Segments are associated with the Transport layer.	Incorrect: Packets are associated with the Network layer.	Incorrect: Frames are associated with the Data Link layer.	Correct: Bits are the PDU at the Physical layer.
21	At which OSI layer would you primarily categorize a protocol that handles data representation formats like JSON or XML transformations?	Presentation	Physical	Data Link	Network	A	Correct: Presentation deals with data representation and format transformations.	Incorrect: Physical transmits bits, not formats like JSON.	Incorrect: Data Link focuses on frames, not content encoding.	Incorrect: Network handles routing, not data formatting.
22	Which OSI layer is most concerned with determining the best path through a network?	Session	Network	Transport	Presentation	B	Incorrect: Session manages sessions, not path selection.	Correct: Network layer selects routes and paths for packets.	Incorrect: Transport ensures end-to-end delivery, not choosing physical paths.	Incorrect: Presentation deals with encoding and encryption, not routing paths.
23	In the OSI model, which layer is primarily responsible for port numbers used to differentiate applications?	Physical	Transport	Data Link	Network	B	Incorrect: Physical deals with signals and media only.	Correct: Transport layer uses port numbers to identify application endpoints.	Incorrect: Data Link uses MAC addresses, not ports.	Incorrect: Network uses logical addresses, not ports for applications.
24	Which statement best describes the relationship between OSI layers?	Each layer operates completely independently with no interaction	Layers only communicate directly with non-adjacent layers	Each layer provides services to the layer above and uses services from the layer below	Layers are merged dynamically during runtime	C	Incorrect: Layers interact via well-defined interfaces, not pure isolation.	Incorrect: Normally layers interact with adjacent layers, not skipping.	Correct: Each OSI layer serves the one above and relies on the one below.	Incorrect: OSI layers are conceptual and fixed, not merged dynamically.
25	Why is the OSI model mainly considered a reference model today?	It defines exact implementations that all vendors must follow	It is only used for cabling diagrams	It provides a conceptual framework to understand and design network protocols	It replaces all other networking models	C	Incorrect: OSI does not dictate exact vendor implementations.	Incorrect: The model is broader than just cabling.	Correct: OSI serves as a conceptual reference for understanding and organizing protocols.	Incorrect: OSI does not replace all other models; others like TCP/IP are widely used.
26	Which OSI layer is responsible for converting data into signals appropriate for the transmission medium?	Application	Data Link	Physical	Session	C	Incorrect: Application focuses on user services, not signal conversion.	Incorrect: Data Link formats frames but does not define physical signaling itself.	Correct: Physical layer converts bits into electrical, optical, or radio signals.	Incorrect: Session is unrelated to signal encoding.
27	When troubleshooting a connectivity issue, which OSI layer would you check if the cable is unplugged?	Application	Physical	Transport	Network	B	Incorrect: Application issues are higher-level, not physical connectivity.	Correct: An unplugged cable is a Physical layer problem.	Incorrect: Transport layer assumes basic connectivity already exists.	Incorrect: Network troubleshooting focuses on routes and IP, not cable state.
28	At which OSI layer would you place a protocol that establishes, maintains, and tears down logical dialogs between two applications?	Session	Network	Data Link	Physical	A	Correct: Session layer manages establishing, maintaining, and terminating sessions.	Incorrect: Network handles routing and addressing, not app dialogs.	Incorrect: Data Link handles local frames, not logical dialogs.	Incorrect: Physical only handles raw bit transmission.
29	Which of the following best illustrates the concept of layering in the OSI model?	All functions are handled by a single component	A stack where each layer has specific responsibilities and interfaces with adjacent layers	Only hardware layers matter and software is ignored	Layers change order depending on the application	B	Incorrect: OSI separates functions into multiple layers, not one component.	Correct: OSI is a layered stack with defined roles and interfaces.	Incorrect: OSI includes both hardware and software considerations.	Incorrect: OSI layer order is fixed and does not change by application.
30	Which OSI layer is primarily responsible for ensuring that data is presented in a readable format to the Application layer, regardless of differences in data representation?	Network	Presentation	Data Link	Transport	B	Incorrect: Network focuses on routing and IP, not readability of data.	Correct: Presentation ensures data is formatted and translated for the Application layer.	Incorrect: Data Link is concerned with local frame delivery, not data interpretation.	Incorrect: Transport ensures end-to-end delivery, not presentation format.

